Entity,Code,Year,Wind Consumption - TWh,Hydro Consumption - TWh,Solar Consumption - TWh,Nuclear Consumption - TWh,Biofuels Consumption - TWh - Total,Geo Biomass Other - TWh,Coal Consumption - TWh,Oil Consumption - TWh,Gas Consumption - TWh
Africa,,1965,0,41.118813,,0,,,323.49612,341.26276,9.543755
Africa,,1966,0,45.862915,,0,,,323.1222,369.48657,10.669916
Africa,,1967,0,47.875538,,0,,,330.29156,368.12524,10.54567
Africa,,1968,0,56.000473,,0,,,343.5129,389.19986,10.68897
Africa,,1969,0,65.3521,,0,,,346.64294,396.92285,12.492
Africa,,1970,0,81.70288,,0,,,360.7569,433.7723,15.520325
Africa,,1971,0,76.92132,0,0,,0.164,383.01233,473.56543,18.405264
Africa,,1972,0,87.62504,0,0,,0.165,384.21082,510.67264,24.670656
Africa,,1973,0,92.68892,0,0,,0.17,408.91034,549.7197,39.551792
Africa,,1974,0,105.467155,0,0,,0.175,425.6462,567.7997,44.518486
Africa,,1975,0,111.53163,0,0,,0.172,451.0805,596.40466,53.63838
Africa,,1976,0,123.59515,0,0,,0.185,481.07416,652.58044,60.98139
Africa,,1977,0,135.81087,0,0,,0.189,491.69846,695.1663,68.23419
Africa,,1978,0,136.92912,0,0,,0.195,477.81558,732.181,97.3699
Africa,,1979,0,146.56386,0,0,,0.201,507.24698,770.9386,148.84282
Africa,,1980,0,142.85742,0,0,,0.207,543.55707,817.23883,186.91399
Africa,,1981,0,148.41989,0,0,,0.218,635.79877,883.8619,228.49117
Africa,,1982,0,148.4593,0,0,,0.236,701.1759,925.22723,246.73355
Africa,,1983,0,133.79536,0,0,,0.23,713.24603,964.55225,271.27533
Africa,,1984,0,131.55637,0,11.137246,,0.234,762.8978,981.7521,259.90277
Africa,,1985,0,146.2222,0,15.081392,,0.269,787.1659,1007.09186,278.84274
Africa,,1986,0,151.23631,0,24.978643,,0.659,805.3561,988.59314,313.2712
Africa,,1987,0,145.05942,0,17.498955,,0.658,828.3197,1042.0686,323.38437
Africa,,1988,0,158.47528,0,29.774044,,0.626,890.16077,1086.2682,358.44455
Africa,,1989,0,166.40816,0,31.493578,,0.617,835.62085,1123.9265,371.47104
Africa,,1990,0,169.3014,0,23.974163,,0.796,877.6783,1142.4028,398.6454
Africa,,1991,0,179.34581,0,25.946238,,0.812,853.76215,1148.7052,401.6356
Africa,,1992,0,171.09227,0,26.35484,,0.84225,858.8312,1170.5247,421.27026
Africa,,1993,0.005916667,167.60956,0,20.58617,,0.9377,871.7139,1180.0767,412.64398
Africa,,1994,0.015972223,170.3109,0,27.515383,,0.835,894.4478,1221.8848,431.82794
Africa,,1995,0.018638888,176.73593,0,32.066753,,1.0187,922.47125,1266.7817,461.2435
Africa,,1996,0.021,184.2691,0,33.41174,,1.258093,935.2283,1293.9713,484.19177
Africa,,1997,0.021277778,188.81114,0,35.88605,,1.3866404,959.0191,1332.2731,474.47552
Africa,,1998,0.022472221,197.0978,0,38.59304,,1.7125492,937.03894,1363.5087,499.33698
Africa,,1999,0.058539443,209.0126,0,36.42518,,1.6961248,966.0107,1414.5602,504.01962
Africa,,2000,0.5189514,222.53064,0.03531389,36.91607,,2.2690632,963.7306,1420.3865,556.8224
Africa,,2001,1.2208859,237.57632,0.043955833,30.21782,,2.3353527,975.9263,1432.6643,634.63617
Africa,,2002,1.2947481,248.17819,0.04904361,33.585613,,2.2864,934.4216,1479.1665,670.6054
Africa,,2003,1.5532919,239.4766,0.05815889,35.24046,,2.6224,1017.04846,1524.8151,711.5067
Africa,,2004,2.213917,251.33617,0.07079056,36.957527,,2.9788496,1119.1619,1586.5107,783.0682
